Outreach Rank,Outreach Score /100,Company Name,Segment,Phone Number,Phone Type,Contact Channel,Best Time To Call,Ask For,Contact Approach,Location,Industry,Services,Google Reviews (verified),Google Rating (verified),Website,Web Dev Opportunity,Lead Score /100,Outreach Breakdown,Opening Line
129,57,Edmar Engineering Company Ltd,b2b industrial,0121 327 1022,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Birmingham,Industrial Engineering,Engineering services,4,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (4.8 excellent)",Quick one. How does Edmar Engineering Company Ltd currently handle enquiry intake and quoting when the team is stretched?
130,57,Conway Precision Engineering,b2b industrial,0121 327 2301,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Birmingham,Precision Engineering,Precision engineering manufacturing,4,4.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=20/20 (4.8 excellent)",Quick one. How does Conway Precision Engineering currently handle enquiry intake and quoting when the team is stretched?
131,56,Moorland Fuels,fuel distribution,01837 55700,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Okehampton, Devon",Oil Distribution,Heating oil delivery,46,3.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=18/30 (46 reviews, 61% of fuel distribution) reputation=8/20 (3.8 mixed)","Quick one. When a customer rings Moorland Fuels to order fuel out of hours, what happens to that enquiry?"
132,55,Commercial Gas Ltd,commercial trade,0141 891 5315,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00",contracts manager or operations manager,"An admin will screen. Ask for the person who handles incoming enquiries by role, not by name you do not have. Angle on service contracts and planned maintenance scheduling.","Hillington, Glasgow",Commercial Gas Engineering,Commercial gas services,,,,unknown - website discovery not run,91,reach[landline]=15/25 segment[commercial trade]=20/25 demand=12/30 (no review data) reputation=8/20 (no rating),"Quick one. When someone contacts Commercial Gas Ltd outside working hours, what happens to that enquiry?"
133,55,Pipework Fabrication Services Ltd,b2b industrial,07903 144555,mobile,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Sandbach, Cheshire",Industrial Pipe Fabrication,Pipework fabrication and supply,,,,unknown - website discovery not run,91,reach[mobile]=25/25 segment[b2b industrial]=10/25 demand=12/30 (no review data) reputation=8/20 (no rating),Quick one. How does Pipework Fabrication Services Ltd currently handle enquiry intake and quoting when the team is stretched?
134,53,Aztec Oils Southwest,fuel distribution,01626 835046,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Newton Abbot, Devon",Oil Distribution,Fuel oil supply and delivery,9,4.6,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=7/30 (9 reviews, 23% of fuel distribution) reputation=16/20 (4.6 strong)","Quick one. When a customer rings Aztec Oils Southwest to order fuel out of hours, what happens to that enquiry?"
135,53,Advanced Engineering (UK) Ltd,b2b industrial,0121 523 4363,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Birmingham,Industrial Engineering / Manufacturing,Engineering manufacturing,5,4.2,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=16/30 (5 reviews, 52% of b2b industrial) reputation=12/20 (4.2 good)",Quick one. How does Advanced Engineering (UK) Ltd currently handle enquiry intake and quoting when the team is stretched?
136,53,Pipe Services Fabrication Ltd (PSFL),b2b industrial,020 8858 2626,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",London SE7,Industrial Pipe Fabrication,Pipe fabrication and supply,5,4.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=16/30 (5 reviews, 52% of b2b industrial) reputation=12/20 (4.0 good)",Quick one. How does Pipe Services Fabrication Ltd (PSFL) currently handle enquiry intake and quoting when the team is stretched?
137,52,Kernow Oils Ltd,fuel distribution,01736 757002,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Hayle, Cornwall",Industrial Lubricants Distribution,Fluids and lubrication supply for industrial use,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=2/30 (1 reviews, 6% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Kernow Oils Ltd to order fuel out of hours, what happens to that enquiry?"
138,52,Lubricants SW Limited,fuel distribution,01822 855885,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Yelverton, Devon",Industrial Lubricants Manufacturing,Lubricant manufacturing and supply,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=2/30 (1 reviews, 6% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Lubricants SW Limited outside working hours, what happens to that enquiry?"
139,52,Rix Petroleum - North Yorkshire,fuel distribution,01944 728243,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Malton, N Yorkshire",Oil Distribution,Heating oil and fuel delivery,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=2/30 (1 reviews, 6% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Rix Petroleum - North Yorkshire to order fuel out of hours, what happens to that enquiry?"
140,52,Oil 4 Wales Llantrisant,fuel distribution,01443 800820,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Pontyclun, RCT",Oil Distribution,Heating oil and fuel supply,30,3.5,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=14/30 (30 reviews, 45% of fuel distribution) reputation=8/20 (3.5 mixed)","Quick one. When a customer rings Oil 4 Wales Llantrisant to order fuel out of hours, what happens to that enquiry?"
141,52,Brand Mechanical Engineering Ltd,b2b industrial,0121 327 6622,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Birmingham,Mechanical Engineering,Precision mechanical engineering,3,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Brand Mechanical Engineering Ltd outside working hours, what happens to that enquiry?"
142,52,Shaw Pipework and Fabrication,b2b industrial,020 4541 2201,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Stalybridge, Manchester",Industrial Pipe Fabrication,Pipework fabrication and installation,3,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Shaw Pipework and Fabrication currently handle enquiry intake and quoting when the team is stretched?
143,52,Humphreys Pipe Fabricators Limited,b2b industrial,01279 436623,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Harlow, Essex",Industrial Pipe Fabrication,Pipe fabrication services,3,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Humphreys Pipe Fabricators Limited currently handle enquiry intake and quoting when the team is stretched?
144,52,Projects and Maintenance Ltd,b2b industrial,01268 288754,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Basildon, Essex",Industrial Maintenance Contracting,Pipework projects and maintenance,3,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts Projects and Maintenance Ltd outside working hours, what happens to that enquiry?"
145,52,Fuel Oils (Holdings) Ltd - Erith,fuel distribution,01322 349035,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Erith, Kent",Oil & Fuel Distribution,Heating oil and fuel delivery,14,4.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=10/30 (14 reviews, 33% of fuel distribution) reputation=12/20 (4.4 good)","Quick one. When a customer rings Fuel Oils (Holdings) Ltd - Erith to order fuel out of hours, what happens to that enquiry?"
146,52,Spirit Energy,energy major,01224 415000,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Oil & Gas Exploration/Production,Oil and gas exploration and production,20,3.8,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=27/30 (20 reviews, 90% of energy major) reputation=8/20 (3.8 mixed)","Quick one. When a customer rings Spirit Energy to order fuel out of hours, what happens to that enquiry?"
147,51,CAN (Offshore) Ltd,energy major,01224 870100,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Offshore Engineering Services,"Offshore inspection, maintenance, access",10,4.1,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=22/30 (10 reviews, 73% of energy major) reputation=12/20 (4.1 good)",Quick one. How much time does the team at CAN (Offshore) Ltd lose to manual admin and internal coordination each week?
148,50,North Sea Energy Services Ltd,energy major,07515 382130,mobile,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Dyce, Aberdeen",Oilfield Services / Manufacturing,North Sea energy support services,1,5.0,,unknown - website discovery not run,91,"reach[mobile]=25/25 segment[energy major]=2/25 demand=3/30 (1 reviews, 10% of energy major) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings North Sea Energy Services Ltd to order fuel out of hours, what happens to that enquiry?"
149,50,Wyse Oil Ltd,fuel distribution,01233 714217,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Charing, Ashford, Kent",Oil Distribution,Heating oil supply,,,,unknown - website discovery not run,91,reach[landline]=15/25 segment[fuel distribution]=15/25 demand=12/30 (no review data) reputation=8/20 (no rating),"Quick one. When a customer rings Wyse Oil Ltd to order fuel out of hours, what happens to that enquiry?"
150,49,Heartland Pipelines Limited,b2b industrial,01952 260505,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Telford,Pipeline Contracting,"Water pipeline installation, directional drilling",2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=4/30 (2 reviews, 13% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Heartland Pipelines Limited currently handle enquiry intake and quoting when the team is stretched?
151,49,Rix Petroleum - Yorkshire & Humber,fuel distribution,01482 407006,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.",Hull,Oil Distribution,Heating oil and fuel delivery,15,3.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=11/30 (15 reviews, 36% of fuel distribution) reputation=8/20 (3.4 mixed)","Quick one. When a customer rings Rix Petroleum - Yorkshire & Humber to order fuel out of hours, what happens to that enquiry?"
152,49,Abbey Pipework Fabricators Ltd,b2b industrial,01268 526723,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Basildon, Essex",Industrial Pipe Fabrication,Pipework fabrication,2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=4/30 (2 reviews, 13% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Abbey Pipework Fabricators Ltd currently handle enquiry intake and quoting when the team is stretched?
153,49,Pipeline Services (UK) Ltd,b2b industrial,01623 740074,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Shirebrook, Mansfield",Pipeline Contracting,Pipeline installation and maintenance,4,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (4 reviews, 40% of b2b industrial) reputation=12/20 (4.3 good)",Quick one. How does Pipeline Services (UK) Ltd currently handle enquiry intake and quoting when the team is stretched?
154,49,Oil 4 Wales (Milford Haven),domestic trade,01646 692255,landline,"Office phone, follow up by email","Tue-Thu, 09:00-11:00 or 16:00-17:00",the owner or whoever books the diary,"Landline means an office with someone on the desk - often a partner or part-time admin. They are the gatekeeper and also the person whose workload you are offering to cut, so make them the ally.","Milford Haven, Pembrokeshire",Oil Distribution & Boiler Services,"Heating oil, boiler service and engineering",5,3.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[domestic trade]=25/25 demand=1/30 (5 reviews, 2% of domestic trade) reputation=8/20 (3.4 mixed)","Quick one. When a customer rings Oil 4 Wales (Milford Haven) to order fuel out of hours, what happens to that enquiry?"
155,48,T T S Precision Engineering Ltd,b2b industrial,0114 243 4708,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Sheffield,Precision Engineering,Precision engineering services,3,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does T T S Precision Engineering Ltd currently handle enquiry intake and quoting when the team is stretched?
156,48,Willand Engineering Company Ltd,b2b industrial,01422 369000,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.",Halifax,Industrial Engineering / Fabrication,"Stainless steel fabrication, tank installation",3,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=7/30 (3 reviews, 23% of b2b industrial) reputation=16/20 (4.7 strong)",Quick one. How does Willand Engineering Company Ltd currently handle enquiry intake and quoting when the team is stretched?
157,48,CNR International UK Ltd,energy major,01224 303600,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Oil & Gas Exploration/Production,North Sea oil and gas operations,8,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=19/30 (8 reviews, 63% of energy major) reputation=12/20 (4.3 good)","Quick one. When a customer rings CNR International UK Ltd to order fuel out of hours, what happens to that enquiry?"
158,47,HV Energy Systems Ltd,b2b industrial,01454 550424,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Yate, Bristol",Energy Systems Engineering,Energy systems services,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=2/30 (1 reviews, 6% of b2b industrial) reputation=20/20 (5.0 excellent)","Quick one. When someone contacts HV Energy Systems Ltd outside working hours, what happens to that enquiry?"
159,47,Majestic Engineering,b2b industrial,0114 256 1459,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Darnall, Sheffield",Industrial Engineering,Precision manufacturing,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=2/30 (1 reviews, 6% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Majestic Engineering currently handle enquiry intake and quoting when the team is stretched?
160,47,Ewen Precision Engineering,b2b industrial,0114 242 3332,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Tinsley, Sheffield",Precision Engineering,"Precision component manufacturing, ISO accredited",1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=2/30 (1 reviews, 6% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Ewen Precision Engineering currently handle enquiry intake and quoting when the team is stretched?
161,47,Pipeline Drillers Ltd,b2b industrial,01560 482021,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Stewarton, Kilmarnock",Pipeline Contracting,Pipeline drilling services,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=2/30 (1 reviews, 6% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Pipeline Drillers Ltd currently handle enquiry intake and quoting when the team is stretched?
162,47,Pipe Services Ltd,b2b industrial,020 8311 2111,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Belvedere, Kent",Pipeline Supplies,Pipe supply and services,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[b2b industrial]=10/25 demand=2/30 (1 reviews, 6% of b2b industrial) reputation=20/20 (5.0 excellent)",Quick one. How does Pipe Services Ltd currently handle enquiry intake and quoting when the team is stretched?
163,46,Oil States Industries (UK) Ltd,energy major,01224 290000,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Nigg, Aberdeen",Oilfield Equipment Manufacturing,Offshore oilfield equipment,4,4.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=17/30 (4 reviews, 57% of energy major) reputation=12/20 (4.0 good)","Quick one. When a customer rings Oil States Industries (UK) Ltd to order fuel out of hours, what happens to that enquiry?"
164,46,Ithaca Energy,energy major,01224 334000,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Hill of Rubislaw, Aberdeen",Oil & Gas Exploration/Production,North Sea oil and gas production,3,4.7,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=13/30 (3 reviews, 43% of energy major) reputation=16/20 (4.7 strong)","Quick one. When a customer rings Ithaca Energy to order fuel out of hours, what happens to that enquiry?"
165,45,Helix Oilfield Services Ltd,energy major,01224 240190,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Torry, Aberdeen",Oilfield Services,Oilfield support services,2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=8/30 (2 reviews, 27% of energy major) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Helix Oilfield Services Ltd to order fuel out of hours, what happens to that enquiry?"
166,45,Total Pipeline Technology Ltd,b2b industrial,0141 428 3908,landline,"Phone, then email a one-pager","Tue-Thu, 09:00-10:30","works manager, general manager or director","Shop-floor businesses rarely buy on a first call. Open on trade credibility - quoting turnaround, drawing handling, enquiry tracking - not on Google reviews, which this sector does not collect. Expect two or three touches.","Blantyre, Glasgow",Pipeline Technology / Manufacturing,Pipeline technology and equipment,,,,unknown - website discovery not run,91,reach[landline]=15/25 segment[b2b industrial]=10/25 demand=12/30 (no review data) reputation=8/20 (no rating),Quick one. How does Total Pipeline Technology Ltd currently handle enquiry intake and quoting when the team is stretched?
167,45,Cornerstone Oil & Gas Ltd,energy major,01224 466718,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Hill of Rubislaw, Aberdeen",Oil & Gas Services,Oil and gas services,2,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=8/30 (2 reviews, 27% of energy major) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Cornerstone Oil & Gas Ltd to order fuel out of hours, what happens to that enquiry?"
168,43,Watson Fuels York,fuel distribution,01757 248220,landline,Phone the depot,"Mon-Thu, 10:00-11:30",depot manager or general manager,"Avoid early morning - drivers and deliveries dominate. Angle on order-taking and delivery scheduling: winter peaks bury them in phone orders. Skip cold weather snaps, they will have no time to talk.","Riccall, York",Oil Distribution,Heating oil delivery,5,3.4,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[fuel distribution]=15/25 demand=5/30 (5 reviews, 17% of fuel distribution) reputation=8/20 (3.4 mixed)","Quick one. When a customer rings Watson Fuels York to order fuel out of hours, what happens to that enquiry?"
169,43,Pipeline Energy Solutions Ltd,b2b industrial,0800 069 9404,non-geographic,"LinkedIn or email, not the phone","Tue-Thu, 09:00-11:00",owner / operations lead by name,0800/03 number means a switchboard will screen you. Find the decision maker on LinkedIn first and reference something specific about their operation.,Paisley,Gas Pipeline Contracting,"Gas mains replacement, excavation",5,4.2,,unknown - website discovery not run,91,"reach[non-geographic]=5/25 segment[b2b industrial]=10/25 demand=16/30 (5 reviews, 52% of b2b industrial) reputation=12/20 (4.2 good)",Quick one. How does Pipeline Energy Solutions Ltd currently handle enquiry intake and quoting when the team is stretched?
170,42,Australis Distribution,fuel distribution,0845 456 0639,non-geographic,"LinkedIn or email, not the phone","Tue-Thu, 09:00-11:00",owner / operations lead by name,0800/03 number means a switchboard will screen you. Find the decision maker on LinkedIn first and reference something specific about their operation.,"Bethersden, Ashford, Kent",Fuel Distribution,Fuel distribution and supply,1,5.0,,unknown - website discovery not run,91,"reach[non-geographic]=5/25 segment[fuel distribution]=15/25 demand=2/30 (1 reviews, 6% of fuel distribution) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Australis Distribution to order fuel out of hours, what happens to that enquiry?"
171,42,Lionrock Energy Services Ltd,energy major,01224 680299,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.","Dyce, Aberdeen",Oilfield Services,Energy support services,3,4.3,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=13/30 (3 reviews, 43% of energy major) reputation=12/20 (4.3 good)","Quick one. When a customer rings Lionrock Energy Services Ltd to order fuel out of hours, what happens to that enquiry?"
172,40,Aberdeen Oilfield Services,energy major,01224 875500,landline,LinkedIn only - do not cold call,"Tue-Thu, business hours",digital / IT manager or communications lead,"Procurement gates all supplier spend and they almost certainly retain an agency. A cold call reaches a receptionist and burns the name. Approach a named individual on LinkedIn with a specific observation, or deprioritise entirely.",Aberdeen,Oilfield Services,Oilfield support services,1,5.0,,unknown - website discovery not run,91,"reach[landline]=15/25 segment[energy major]=2/25 demand=3/30 (1 reviews, 10% of energy major) reputation=20/20 (5.0 excellent)","Quick one. When a customer rings Aberdeen Oilfield Services to order fuel out of hours, what happens to that enquiry?"
